LoanID,"Price, P_ijk","Pool Opton, j","Servicer, k"
102776883,102.0091714943930,pool_249,Pingora
102776883,101.7533120000000,pool_248,Retained
102776883,101.4007964943930,pool_252,Pingora
102776883,101.1136870000000,pool_251,Retained
103282778,107.5658120000000,pool_434,Retained
103282778,107.1499350000000,pool_435,Pingora
103282778,107.0626870000000,pool_353,Retained
103282778,107.0355620000000,pool_436,Retained
103282778,106.6509350000000,pool_437,Pingora
103282778,106.6468100000000,pool_354,Pingora
103282778,106.5814370000000,pool_366,Retained
103282778,106.4886870000000,pool_355,Retained
103282778,106.4064370000000,pool_379,Retained
103282778,106.1655600000000,pool_367,Pingora
103282778,106.1040600000000,pool_356,Pingora
103282778,106.0564370000000,pool_392,Retained
103282778,105.9905600000000,pool_380,Pingora
103282778,105.7720620000000,pool_405,Retained
103282778,105.6405600000000,pool_393,Pingora
103282778,105.6355620000000,pool_368,Retained
103282778,105.5918120000000,pool_381,Retained
103282778,105.3783120000000,pool_248,Retained
103282778,105.3561850000000,pool_406,Pingora
103282778,105.2509350000000,pool_369,Pingora
103282778,105.2071850000000,pool_382,Pingora
103282778,105.1761870000000,pool_394,Retained
103282778,105.0668120000000,pool_407,Retained
103282778,104.9624350000000,pool_249,Pingora
103282778,104.7915600000000,pool_395,Pingora
103282778,104.7386870000000,pool_251,Retained
103282778,104.6821850000000,pool_408,Pingora
103282778,104.3540600000000,pool_252,Pingora
103337294,103.4467328832190,pool_82,Retained
103337294,103.4467328832190,pool_90,Retained
103337294,103.4467328832190,pool_98,Retained
103337294,103.3870076657350,pool_83,Two Harbors
103337294,103.3870076657350,pool_91,Two Harbors
103337294,103.3870076657350,pool_99,Two Harbors
103337294,103.3373578832190,pool_9,Retained
103337294,103.2776326657350,pool_10,Two Harbors
103337294,103.0306641682190,pool_309,Retained
103337294,102.9869141682190,pool_317,Retained
103337294,102.9738488082190,pool_85,Retained
103337294,102.9462548082190,pool_312,Retained
103337294,102.9442826657350,pool_86,Two Harbors
103337294,102.9431641682190,pool_325,Retained
103337294,102.8870276658540,pool_310,Two Harbors
103337294,102.8644738082190,pool_93,Retained
103337294,102.8433826658540,pool_313,Two Harbors
103337294,102.8432776658540,pool_318,Two Harbors
103337294,102.8368798082190,pool_320,Retained
103337294,102.8349076657350,pool_94,Two Harbors
103337294,102.8337891682190,pool_236,Retained
103337294,102.7995276658540,pool_326,Two Harbors
103337294,102.7593092430020,pool_311,Pingora
103337294,102.7413342430020,pool_308,Pingora
103337294,102.7340076658540,pool_321,Two Harbors
103337294,102.6975842430020,pool_316,Pingora
103337294,102.6901526658540,pool_237,Two Harbors
103337294,102.6538342430020,pool_324,Pingora
103337294,102.6499342430020,pool_319,Pingora
103337294,102.6457238082190,pool_13,Retained
103337294,102.6181298082190,pool_240,Retained
103337294,102.6161576657350,pool_14,Two Harbors
103337294,102.5444592430020,pool_235,Pingora
103337294,102.5152576658540,pool_241,Two Harbors
103337294,102.4311842430020,pool_239,Pingora
103367394,100.3974685023580,pool_234,Pingora
103367394,100.3943846702670,pool_233,Two Harbors
103367394,100.3552762328770,pool_232,Retained
103367394,99.2413435023580,pool_238,Pingora
103367394,99.2382596702669,pool_237,Two Harbors
103367394,99.1991512328767,pool_236,Retained
103375292,102.3875370684930,pool_15,Pingora
103375292,102.3737432962090,pool_14,Two Harbors
103375292,102.3264263835620,pool_13,Retained
103375292,102.2815370684930,pool_242,Pingora
103375292,102.1758432963620,pool_241,Two Harbors
103375292,102.1118523835620,pool_240,Retained
103375292,101.0006620684930,pool_19,Pingora
103375292,100.9529932962090,pool_18,Two Harbors
103375292,100.9056763835620,pool_17,Retained
103375292,100.7641620684930,pool_246,Pingora
103375292,100.6115932963620,pool_245,Two Harbors
103375292,100.5476023835620,pool_244,Retained
103375385,103.0799276027400,pool_216,Retained
103375385,103.0635626125880,pool_218,Pingora
103375385,102.7745626125880,pool_449,Pingora
103375385,102.7015376027400,pool_447,Retained
103375385,102.4549276027400,pool_17,Retained
103375385,102.4385626125880,pool_19,Pingora
103375385,102.3735526027400,pool_219,Retained
103375385,102.3598126125880,pool_220,Pingora
103375385,102.1495626125880,pool_246,Pingora
103375385,102.0765376027400,pool_244,Retained
103375385,102.0128126125880,pool_451,Pingora
103375385,101.9241626027400,pool_450,Retained
103375385,101.7485526027400,pool_21,Retained
103375385,101.7348126125880,pool_22,Pingora
103375385,101.3878126125880,pool_249,Pingora
103375385,101.2991626027400,pool_248,Retained
103379057,101.6129000176640,pool_233,Two Harbors
103379057,101.5658837808220,pool_232,Retained
103379057,101.5328685702960,pool_231,Pingora
103379057,101.2167180176640,pool_230,Two Harbors
103379057,101.1219857508220,pool_229,Retained
103379057,100.8393935702960,pool_228,Pingora
103379882,108.3027345342470,pool_203,Retained
103379882,108.0951095342470,pool_205,Retained
103379882,108.0533303508960,pool_204,Pingora
103379882,107.8639553508960,pool_206,Pingora
103379882,107.7539195342470,pool_434,Retained
103379882,107.7339845342470,pool_125,Retained
103379882,107.6000803508960,pool_435,Pingora
103379882,107.4845803508960,pool_126,Pingora
103379882,107.3732345342470,pool_127,Retained
103379882,107.2507945342470,pool_353,Retained
103379882,107.2236695342470,pool_436,Retained
103379882,107.1433595342470,pool_138,Retained
103379882,107.1433595342470,pool_151,Retained
103379882,107.1420803508960,pool_128,Pingora
103379882,107.1010803508960,pool_437,Pingora
103379882,107.0969553508960,pool_354,Pingora
103379882,106.8939553508960,pool_139,Pingora
103379882,106.8939553508960,pool_152,Pingora
103379882,106.8919845342470,pool_140,Retained
103379882,106.8589845342470,pool_164,Retained
103379882,106.7826095342470,pool_153,Retained
103379882,106.7695445342470,pool_366,Retained
103379882,106.6767945342470,pool_355,Retained
103379882,106.6608303508960,pool_141,Pingora
103379882,106.6157053508960,pool_367,Pingora
103379882,106.6095803508960,pool_165,Pingora
103379882,106.5945445342470,pool_379,Retained
103379882,106.5542053508960,pool_356,Pingora
103379882,106.5514553508960,pool_154,Pingora
103379882,106.5308595342470,pool_174,Retained
103379882,106.4407053508960,pool_380,Pingora
103379882,106.2814553508960,pool_175,Pingora
103379882,106.2445445342470,pool_392,Retained
103379882,106.1263595342470,pool_166,Retained
103379882,106.0907053508960,pool_393,Pingora
103379882,105.9951095342470,pool_176,Retained
103379882,105.9601695342470,pool_405,Retained
103379882,105.8964845342470,pool_21,Retained
103379882,105.8952053508960,pool_167,Pingora
103379882,105.8236695342470,pool_368,Retained
103379882,105.8063303508960,pool_406,Pingora
103379882,105.7799195342470,pool_381,Retained
103379882,105.7639553508960,pool_177,Pingora
103379882,105.7010803508960,pool_369,Pingora
103379882,105.6888595342470,pool_24,Retained
103379882,105.6573303508960,pool_382,Pingora
103379882,105.6470803508960,pool_22,Pingora
103379882,105.5664195342470,pool_248,Retained
103379882,105.4577053508960,pool_25,Pingora
103379882,105.4125803508960,pool_249,Pingora
103379882,105.3642945342470,pool_394,Retained
