LoanID,Amount,FICO,DTI,HighBalFlag,PropOcc,PropState,PropType,Purpose
102776883,"205,100",757,48.918,N,NOO,TX,2 Unit,Cashout
103282778,"60,000",705,43.419,N,Primary,FL,SFR_Dt,Cashout
103337294,"138,000",674,43.73,N,Primary,TX,SFR_Dt,Cashout
103367394,"366,000",771,35.501,N,Primary,CA,SFR_Dt,Rate/Term
103375292,"375,000",686,45.15,N,Primary,OH,SFR_Dt,Rate/Term
103375385,"244,093",753,47.944,N,NOO,IL,SFR_At,Cashout
103379057,"304,000",756,43.275,N,Primary,GA,SFR_Dt,Rate/Term
103379882,"65,000",716,41.362,N,Primary,CA,SFR_At,Cashout
103382160,"116,800",739,36.166,N,Primary,WA,SFR_Dt,Rate/Term
103382190,"97,500",650,43.854,N,Primary,AZ,SFR_Dt,Rate/Term
103382628,"293,200",775,42.039,N,Primary,NY,SFR_Dt,Rate/Term
103383740,"255,000",696,44.29,N,Primary,PA,SFR_Dt,Rate/Term
103386126,"146,000",777,49.86,N,Primary,AL,SFR_Dt,Cashout
103386790,"654,500",750,43.147,Y,NOO,CA,SFR_Dt,Rate/Term
103388198,"380,000",763,33.292,N,Primary,IL,CondoHi,Rate/Term
103389046,"282,000",764,42.93,N,NOO,CA,CondoLo,Rate/Term
103389210,"329,000",764,41.586,N,NOO,CA,CondoLo,Cashout
103389421,"138,750",743,19.596,N,NOO,CA,CondoLo,Rate/Term
103389760,"120,000",647,44.589,N,Primary,TX,SFR_Dt,Cashout
103390043,"120,000",698,48.106,N,Primary,LA,SFR_Dt,Cashout
103390162,"200,001",783,29.051,N,Primary,AZ,SFR_Dt,Rate/Term
103391560,"480,500",658,46.45,N,Primary,IL,SFR_Dt,Cashout
103391895,"400,000",766,44.897,N,Primary,TN,SFR_Dt,Cashout
103392396,"106,000",646,30.142,N,Primary,UT,2 Unit,Rate/Term
103392505,"76,000",700,35.342,N,Primary,LA,SFR_Dt,Cashout
103392707,"245,000",787,35.799,N,Primary,NJ,2 Unit,Cashout
103392912,"177,600",702,41.111,N,Primary,SC,SFR_At,Rate/Term
103393449,"190,000",768,38.136,N,Primary,TX,SFR_Dt,Cashout
103394752,"241,200",700,46.889,N,Primary,WA,SFR_At,Cashout
103395621,"236,500",671,49.493,N,Primary,TN,SFR_Dt,Cashout
103396625,"191,000",729,42.151,N,Primary,UT,SFR_Dt,Cashout
103396690,"500,000",796,21.778,Y,Primary,HI,CondoLo,Cashout
103396931,"395,000",771,28.57,N,NOO,NV,SFR_Dt,Cashout
103397099,"169,498",758,40.07,N,Primary,CA,SFR_At,Cashout
103397273,"155,000",698,22.514,N,Primary,TX,SFR_At,Cashout
103397626,"322,000",752,26.25,N,Primary,CA,SFR_At,Cashout
103397636,"177,000",729,46.852,N,Primary,UT,CondoLo,Rate/Term
103399170,"226,000",693,38.412,N,Primary,CA,SFR_Dt,Rate/Term
103399426,"152,900",623,37.278,N,Primary,MD,SFR_Dt,Cashout
103401284,"125,103",779,38.486,N,Primary,NM,SFR_Dt,Rate/Term
103401398,"254,400",777,40.691,N,Primary,MI,SFR_Dt,Cashout
103402413,"585,000",762,45.674,N,Primary,NY,2 Unit,Cashout
103402455,"470,000",663,40.24,N,Primary,MA,SFR_Dt,Cashout
103402475,"370,500",777,34.704,N,Primary,VA,SFR_At,Rate/Term
103402686,"158,400",704,36.902,N,Primary,TX,SFR_At,Cashout
103403057,"212,500",742,49.979,N,Primary,MA,SFR_Dt,Rate/Term
103403165,"423,695",738,39.596,N,Primary,CA,SFR_Dt,Cashout
103403998,"260,000",691,47.851,N,Primary,NY,SFR_Dt,Cashout
103404032,"316,500",639,44.744,N,Primary,VA,SFR_At,Cashout
103405231,"224,000",677,45.221,N,Primary,RI,CondoLo,Rate/Term
103405745,"401,250",677,44.407,N,Primary,TX,SFR_At,Cashout
103407768,"170,200",782,49.306,N,Primary,PA,SFR_Dt,Rate/Term
103408023,"80,298",714,42.175,N,Primary,TX,SFR_Dt,Purchase
103408508,"292,800",694,30.631,N,Primary,NC,SFR_At,Rate/Term
103408815,"401,600",687,44.346,N,Primary,GA,SFR_Dt,Cashout
103408844,"200,000",652,31.783,N,Primary,AZ,SFR_Dt,Cashout
