Loan,Pool,Price
102776883,pool_249,209220.810735
102776883,pool_248,208696.042912
102776883,pool_252,207973.03361
102776883,pool_251,207384.172037
103282778,pool_434,64539.4872
103282778,pool_435,64289.961
103282778,pool_353,64237.6122
103282778,pool_436,64221.3372
103282778,pool_437,63990.561
103282778,pool_354,63988.086
103282778,pool_366,63948.8622
103282778,pool_355,63893.2122
103282778,pool_379,63843.8622
103282778,pool_367,63699.336
103282778,pool_356,63662.436
103282778,pool_392,63633.8622
103282778,pool_380,63594.336
103282778,pool_405,63463.2372
103282778,pool_393,63384.336
103282778,pool_368,63381.3372
103282778,pool_381,63355.0872
103282778,pool_248,63226.9872
103282778,pool_406,63213.711
103282778,pool_369,63150.561
103282778,pool_382,63124.311
103282778,pool_394,63105.7122
103282778,pool_407,63040.0872
103282778,pool_249,62977.461
103282778,pool_395,62874.936
103282778,pool_251,62843.2122
103282778,pool_408,62809.311
103282778,pool_252,62612.436
103337294,pool_82,142756.491378842
103337294,pool_90,142756.491378842
103337294,pool_98,142756.491378842
103337294,pool_83,142674.070578714
103337294,pool_91,142674.070578714
103337294,pool_99,142674.070578714
103337294,pool_9,142605.553878842
103337294,pool_10,142523.133078714
103337294,pool_309,142182.316552142
103337294,pool_317,142121.941552142
103337294,pool_85,142103.911355342
103337294,pool_312,142065.831635342
103337294,pool_86,142063.110078714
103337294,pool_325,142061.566552142
103337294,pool_310,141984.098178879
103337294,pool_93,141952.973855342
103337294,pool_313,141923.868078879
103337294,pool_318,141923.723178879
103337294,pool_320,141914.894135342
103337294,pool_94,141912.172578714
103337294,pool_236,141910.629052142
103337294,pool_326,141863.348178879
103337294,pool_311,141807.846755343
103337294,pool_308,141783.041255343
103337294,pool_321,141772.930578878
103337294,pool_316,141722.666255343
103337294,pool_237,141712.410678879
103337294,pool_324,141662.291255343
103337294,pool_319,141656.909255343
103337294,pool_13,141651.098855342
103337294,pool_240,141613.019135342
103337294,pool_14,141610.297578714
103337294,pool_235,141511.353755343
103337294,pool_241,141471.055578878
103337294,pool_239,141355.034255343
103367394,pool_234,367454.73471863
103367394,pool_233,367443.447893177
103367394,pool_232,367300.31101233
103367394,pool_238,363223.31721863
103367394,pool_237,363212.030393177
103367394,pool_236,363068.893512329
103375292,pool_15,383953.264006849
103375292,pool_14,383901.537360784
103375292,pool_13,383724.098938357
103375292,pool_242,383555.764006849
103375292,pool_241,383159.412361357
103375292,pool_240,382919.446438357
103375292,pool_19,378752.482756849
103375292,pool_18,378573.724860784
103375292,pool_17,378396.286438357
103375292,pool_246,377865.607756849
103375292,pool_245,377293.474861357
103375292,pool_244,377053.508938357
103375385,pool_216,251610.887683356
103375385,pool_218,251570.941887944
103375385,pool_449,250865.513117944
103375385,pool_447,250687.264180656
103375385,pool_17,250085.306433356
103375385,pool_19,250045.360637944
103375385,pool_219,249886.675754606
103375385,pool_220,249853.137400444
103375385,pool_246,249339.931867944
103375385,pool_244,249161.682930656
103375385,pool_451,249006.134690444
103375385,pool_450,248789.746221906
103375385,pool_21,248361.094504606
103375385,pool_22,248327.556150444
103375385,pool_249,247480.553440444
103375385,pool_248,247264.164971906
103379057,pool_233,308903.216053699
103379057,pool_232,308760.286693699
103379057,pool_231,308659.9204537
103379057,pool_230,307698.822773699
103379057,pool_229,307410.836682499
103379057,pool_228,306551.7564537
103379882,pool_203,70396.7774472605
103379882,pool_205,70261.8211972605
103379882,pool_204,70234.6647280824
103379882,pool_206,70111.5709780824
103379882,pool_434,70040.0476972606
103379882,pool_125,70027.0899472606
103379882,pool_435,69940.0522280824
103379882,pool_126,69864.9772280824
103379882,pool_127,69792.6024472605
103379882,pool_353,69713.0164472606
103379882,pool_436,69695.3851972605
103379882,pool_138,69643.1836972606
103379882,pool_151,69643.1836972606
103379882,pool_128,69642.3522280824
103379882,pool_437,69615.7022280824
103379882,pool_354,69613.0209780824
103379882,pool_139,69481.0709780824
103379882,pool_152,69481.0709780824
103379882,pool_140,69479.7899472605
103379882,pool_164,69458.3399472606
103379882,pool_153,69408.6961972605
103379882,pool_366,69400.2039472606
103379882,pool_355,69339.9164472605
103379882,pool_141,69329.5397280824
103379882,pool_367,69300.2084780824
103379882,pool_165,69296.2272280824
103379882,pool_379,69286.4539472606
103379882,pool_356,69260.2334780824
103379882,pool_154,69258.4459780824
103379882,pool_174,69245.0586972605
103379882,pool_380,69186.4584780824
103379882,pool_175,69082.9459780824
103379882,pool_392,69058.9539472605
103379882,pool_166,68982.1336972605
103379882,pool_393,68958.9584780824
103379882,pool_176,68896.8211972605
103379882,pool_405,68874.1101972606
103379882,pool_21,68832.7149472606
103379882,pool_167,68831.8834780824
103379882,pool_368,68785.3851972605
103379882,pool_406,68774.1147280824
103379882,pool_381,68756.9476972605
103379882,pool_177,68746.5709780824
103379882,pool_369,68705.7022280824
103379882,pool_24,68697.7586972605
103379882,pool_382,68677.2647280824
103379882,pool_22,68670.6022280824
103379882,pool_248,68618.1726972606
103379882,pool_25,68547.5084780824
103379882,pool_249,68518.1772280824
103379882,pool_394,68486.7914472605
103379882,pool_407,68415.6976972605
103379882,pool_395,68407.1084780824
103379882,pool_408,68336.0147280824
103379882,pool_251,68202.4164472605
103379882,pool_252,68122.7334780824
103382160,pool_301,120548.040848
103382160,pool_309,120522.490848
103382160,pool_317,120471.390848
103382160,pool_325,120420.290848
103382160,pool_232,120323.11650672
103382160,pool_236,120292.540848
103382160,pool_302,120262.655088342
103382160,pool_310,120237.105088342
103382160,pool_318,120186.005088342
103382160,pool_300,120184.830848
103382160,pool_308,120159.280848
103382160,pool_326,120134.905088342
103382160,pool_316,120108.180848
103382160,pool_324,120057.080848
103382160,pool_237,120007.155088342
103382160,pool_233,120001.304576342
103382160,pool_235,119929.330848
103382160,pool_231,119524.268448
103382190,pool_188,102600.014987672
103382190,pool_187,102084.023912671
103382190,pool_191,101907.155612671
103382190,pool_17,101503.139987672
103382190,pool_190,101391.164537671
103382190,pool_21,101145.436862671
103382190,pool_16,100987.148912671
103382190,pool_20,100629.445787671
103382628,pool_112,301416.123499179
103382628,pool_5,301159.573499179
103382628,pool_340,300254.353683179
103382628,pool_232,299997.803683179
103382628,pool_113,299684.410999178
103382628,pool_341,299671.691983178
103382628,pool_9,298658.210999179
103382628,pool_236,298645.491983178
103383740,pool_3,256859.826382636
103383740,pool_1,256500.01780685
103383740,pool_6,256313.170132636
103383740,pool_233,256204.922632939
103383740,pool_2,256195.087156849
103383740,pool_4,255953.36155685
103383740,pool_230,255924.868882939
103383740,pool_231,255888.59155685
103383740,pool_232,255700.246906849
103383740,pool_5,255648.430906849
103383740,pool_228,255608.53780685
103383740,pool_229,255420.193156849
103386126,pool_232,148161.975819999
103386126,pool_233,147923.11596
103386126,pool_231,147794.450060001
103386790,pool_213,677652.07860772
103386790,pool_215,677424.723455755
103386790,pool_214,676035.746982219
103386790,pool_446,674937.623455755
103386790,pool_444,674570.97469722
103386790,pool_13,673561.45360772
103386790,pool_15,673334.098455755
103386790,pool_445,673180.556183221
103386790,pool_14,671945.121982219
103386790,pool_218,671881.272080755
103386790,pool_216,671636.33937822
103386790,pool_242,670846.998455755
103386790,pool_240,670480.34969722
103386790,pool_449,670389.012080755
103386790,pool_217,670094.26143222
103386790,pool_447,669522.59890322
103386790,pool_241,669089.931183221
103386790,pool_448,668134.688433221
103386790,pool_19,667790.647080755
103386790,pool_17,667545.71437822
103386790,pool_40,667220.98485772
103386790,pool_42,666993.629705755
103386790,pool_246,666298.387080755
103386790,pool_18,666003.63643222
103386790,pool_41,665604.65323222
103386790,pool_269,665570.092205755
103386790,pool_244,665431.97390322
103386790,pool_267,665203.44344722
103386790,pool_245,664044.063433221
103386790,pool_268,663813.024933221
103386790,pool_273,658180.950830755
103386790,pool_46,657618.080830755
103386790,pool_44,657421.58112822
103386790,pool_271,657314.53765322
103386790,pool_272,655926.627183221
103386790,pool_45,655879.503182219
103388198,pool_233,383887.445580821
103388198,pool_231,383710.92358082
103388198,pool_232,383580.11378082
103388198,pool_230,382884.787080821
103388198,pool_229,382511.86566582
103388198,pool_228,382357.64858082
103389046,pool_236,286783.374896713
103389046,pool_235,286258.871396714
103389046,pool_237,285757.939196713
103389046,pool_240,285118.305896713
103389046,pool_239,284593.802396714
103389046,pool_241,284092.870196713
103389210,pool_236,332524.354046165
103389210,pool_235,331854.397296164
103389210,pool_237,331330.947396164
103389210,pool_240,330581.773546165
103389210,pool_239,329911.816796164
103389210,pool_241,329388.366896164
103389421,pool_443,139469.780199658
103389421,pool_440,139300.470512158
103389421,pool_441,139250.041353083
103389421,pool_438,139204.40457027
103389421,pool_439,138948.577990583
103389421,pool_372,138906.108324658
103389421,pool_442,138866.431053083
103389421,pool_385,138845.405199658
103389421,pool_398,138723.998949658
103389421,pool_370,138686.369478082
103389421,pool_383,138625.666353082
103389421,pool_238,138602.592699658
103389421,pool_396,138504.260103082
103389421,pool_234,138433.283012158
103389421,pool_236,138382.853853082
103389421,pool_232,138337.21707027
103389421,pool_371,138302.759178082
103389421,pool_384,138242.056053082
103389421,pool_397,138120.649803082
103389421,pool_233,138081.390490582
103389421,pool_237,137999.243553082
103389760,pool_139,124475.95850959
103389760,pool_152,124475.95850959
103389760,pool_141,124299.70850959
103389760,pool_154,124168.45850959
103389760,pool_165,124134.70850959
103389760,pool_138,124125.315813698
103389760,pool_151,124125.315813698
103389760,pool_367,123950.95850959
103389760,pool_140,123932.565813698
103389760,pool_153,123801.315813698
103389760,pool_164,123784.065813698
103389760,pool_380,123740.95850959
103389760,pool_175,123740.95850959
103389760,pool_369,123512.80850959
103389760,pool_382,123460.30850959
103389760,pool_366,123446.647413698
103389760,pool_174,123390.315813698
103389760,pool_167,123380.95850959
103389760,pool_393,123320.95850959
103389760,pool_379,123236.647413698
103389760,pool_177,123223.45850959
103389760,pool_166,123013.815813698
103389760,pool_406,122979.70850959
103389760,pool_22,122979.70850959
103389760,pool_368,122970.997413698
103389760,pool_395,122961.55850959
103389760,pool_381,122918.497413698
103389760,pool_176,122856.315813698
103389760,pool_25,122855.95850959
103389760,pool_408,122830.30850959
103389760,pool_392,122816.647413698
103389760,pool_21,122629.065813698
103389760,pool_249,122507.20850959
103389760,pool_24,122488.815813698
103389760,pool_405,122475.397413698
103389760,pool_252,122436.55850959
103389760,pool_394,122419.747413698
103389760,pool_407,122288.497413698
103389760,pool_248,122002.897413698
103389760,pool_251,121894.747413698
103390043,pool_301,122326.020789041
103390043,pool_309,122299.770789041
103390043,pool_317,122247.270789041
103390043,pool_302,122200.950707201
103390043,pool_325,122194.770789041
103390043,pool_310,122174.700707201
103390043,pool_318,122122.200707201
103390043,pool_326,122069.700707201
103390043,pool_236,122063.520789041
103390043,pool_300,121980.564789041
103390043,pool_308,121954.314789041
103390043,pool_237,121938.450707201
103390043,pool_316,121901.814789041
103390043,pool_324,121849.314789041
103390043,pool_235,121718.064789041
103390162,pool_5,200677.817849826
103390162,pool_7,200442.036006197
103390162,pool_6,200408.084588911
103390162,pool_232,200211.553518516
103390162,pool_234,200164.034616197
103390162,pool_233,199954.482321216
103390162,pool_9,198131.555118576
103390162,pool_236,197899.291957266
103390162,pool_10,197861.821857661
103390162,pool_11,197860.773099946
103390162,pool_238,197851.773054946
103390162,pool_237,197642.220759966
103391560,pool_6,477437.361419516
103391560,pool_7,477280.224354863
103391560,pool_5,476586.433789233
103391560,pool_234,475190.049354863
103391560,pool_233,474850.061120249
103391560,pool_10,474536.654994516
103391560,pool_11,474319.743729863
103391560,pool_232,473955.827946233
103391560,pool_9,473799.473246233
103391560,pool_238,473771.973729863
103391560,pool_237,473416.128995249
103391560,pool_236,472644.519421233
103391895,pool_6,407476.338656924
103391895,pool_5,406665.514657536
103391895,pool_7,406354.385260276
103391895,pool_10,406299.414656924
103391895,pool_9,405791.324657536
103391895,pool_11,405721.485260272
103391895,pool_233,405716.434657536
103391895,pool_237,405479.614657536
103391895,pool_238,405246.485260272
103391895,pool_236,404941.560657536
103391895,pool_234,404884.385260276
103391895,pool_232,404809.995157536
103392396,pool_66,109467.66304685
103392396,pool_74,109351.72554685
103392396,pool_82,109351.72554685
103392396,pool_90,109351.72554685
103392396,pool_98,109351.72554685
103392396,pool_293,109291.94366685
103392396,pool_9,109235.78804685
103392396,pool_301,109222.38116685
103392396,pool_309,109199.19366685
103392396,pool_67,109154.542777555
103392396,pool_317,109152.81866685
103392396,pool_325,109106.44366685
103392396,pool_65,109080.949666849
103392396,pool_75,109038.605277555
103392396,pool_83,109038.605277555
103392396,pool_91,109038.605277555
103392396,pool_99,109038.605277555
103392396,pool_236,108990.50616685
103392396,pool_73,108965.012166849
103392396,pool_81,108965.012166849
103392396,pool_89,108965.012166849
103392396,pool_97,108965.012166849
103392396,pool_10,108922.667777555
103392396,pool_294,108902.024277682
103392396,pool_296,108897.94166685
103392396,pool_69,108858.82554685
103392396,pool_8,108849.074666849
103392396,pool_292,108846.504166849
103392396,pool_302,108832.461777682
103392396,pool_310,108809.274277682
103392396,pool_300,108776.941666849
103392396,pool_318,108762.899277682
103392396,pool_308,108753.754166849
103392396,pool_304,108735.62916685
103392396,pool_326,108716.524277682
103392396,pool_312,108712.44166685
103392396,pool_316,108707.379166849
103392396,pool_77,108696.51304685
103392396,pool_85,108673.32554685
103392396,pool_324,108661.004166849
103392396,pool_237,108600.586777682
103392396,pool_320,108596.50416685
103392396,pool_93,108557.38804685
103392396,pool_70,108545.705277555
103392396,pool_235,108545.066666849
103392396,pool_297,108508.022277682
103392396,pool_68,108472.11216685
103392396,pool_295,108452.50216685
103392396,pool_78,108383.392777555
103392396,pool_240,108364.62916685
103392396,pool_86,108360.205277555
103392396,pool_305,108345.709777682
103392396,pool_13,108325.51304685
103392396,pool_313,108322.522277682
103392396,pool_76,108309.79966685
103392396,pool_303,108290.18966685
103392396,pool_84,108286.61216685
103392396,pool_311,108267.00216685
103392396,pool_94,108244.267777555
103392396,pool_321,108206.584777682
103392396,pool_92,108170.67466685
103392396,pool_319,108151.06466685
103392396,pool_14,108012.392777555
103392396,pool_241,107974.709777682
103392396,pool_12,107938.79966685
103392396,pool_239,107919.18966685
103392505,pool_336,79853.9818382876
103392505,pool_296,79687.7318382876
103392505,pool_304,79571.3568382876
103392505,pool_312,79554.7318382876
103392505,pool_320,79471.6068382876
103392505,pool_335,79410.5385832878
103392505,pool_240,79305.3568382876
103392505,pool_295,79244.2885832878
103392505,pool_339,79152.9824432876
103392505,pool_303,79127.9135832879
103392505,pool_311,79111.2885832878
103392505,pool_319,79028.1635832878
103392505,pool_299,78986.7324432876
103392505,pool_307,78936.8574432876
103392505,pool_315,78936.8574432876
103392505,pool_239,78861.9135832878
103392505,pool_338,78817.4250832878
103392505,pool_323,78737.3574432876
103392505,pool_298,78651.1750832878
103392505,pool_306,78601.3000832878
103392505,pool_314,78601.3000832878
103392505,pool_328,78571.1074432876
103392505,pool_244,78404.8574432876
103392505,pool_322,78401.8000832878
103392505,pool_327,78235.5500832878
103392505,pool_243,78069.3000832878
103392707,pool_10,252033.835852366
103392707,pool_11,251732.180721918
103392707,pool_9,251378.442122741
103392707,pool_237,251056.109452741
103392707,pool_238,250917.555721918
103392707,pool_236,250367.739996741
103392707,pool_14,248879.497602366
103392707,pool_15,248681.514221918
103392707,pool_13,248255.349702741
103392707,pool_242,248251.294221918
103392707,pool_241,248250.337602741
103392707,pool_240,247599.741952741
103392912,pool_234,178643.688099946
103392912,pool_233,178560.778358758
103392912,pool_232,178511.175948493
103392912,pool_398,178374.180099946
103392912,pool_238,178218.780099946
103392912,pool_397,178186.175558758
103392912,pool_396,178181.896668493
103392912,pool_237,178030.775558758
103392912,pool_236,178026.496668493
103393449,pool_397,194898.581412329
103393449,pool_237,194732.331412329
103393449,pool_398,194583.952498629
103393449,pool_238,194417.702498629
103393449,pool_396,194328.98714033
103393449,pool_236,194162.73714033
103393449,pool_400,193179.864212329
103393449,pool_401,192994.288998629
103393449,pool_399,192639.56391233
103393449,pool_241,192556.426712329
103393449,pool_242,192370.851498629
103393449,pool_240,192016.12641233
103394752,pool_13,247320.133476214
103394752,pool_14,247264.555732318
103394752,pool_15,246855.463348109
103394752,pool_241,246212.344852687
103394752,pool_240,246184.667833414
103394752,pool_242,245938.903348109
103394752,pool_17,245103.179615014
103394752,pool_18,245074.966252318
103394752,pool_19,244868.457748109
103394752,pool_245,244352.813452687
103394752,pool_244,244324.212155014
103394752,pool_246,244318.521748109
103395621,pool_182,244087.794596438
103395621,pool_183,243880.38790095
103395621,pool_413,243477.314781438
103395621,pool_181,243263.486866439
103395621,pool_414,243236.989651262
103395621,pool_412,242664.787116439
103395621,pool_9,241870.607096438
103395621,pool_10,241663.20040095
103395621,pool_236,241481.846031438
103395621,pool_185,241467.670221438
103395621,pool_186,241260.26352595
103395621,pool_237,241241.520901262
103395621,pool_8,241046.299366439
103395621,pool_235,240669.318366439
103395621,pool_184,240643.362491439
103395621,pool_416,240307.919156438
103395621,pool_417,240067.594026262
103395621,pool_415,239495.391491439
103395621,pool_13,238733.138971438
103395621,pool_14,238525.73227595
103395621,pool_12,237908.831241439
103395621,pool_240,237573.387906438
103395621,pool_241,237333.062776262
103395621,pool_239,236760.860241439
103396625,pool_413,196230.383063425
103396625,pool_414,196004.122753425
103396625,pool_412,195589.875253424
103396625,pool_236,194618.820563425
103396625,pool_416,194469.219813425
103396625,pool_237,194392.560253425
103396625,pool_417,194242.959503425
103396625,pool_235,193978.312753424
103396625,pool_415,193828.712003424
103396625,pool_240,192260.782313425
103396625,pool_241,192034.522003425
103396625,pool_239,191620.274503424
103396690,pool_233,500454.263150685
103396690,pool_230,499905.138150685
103396690,pool_231,499601.148150685
103396690,pool_232,499498.033150685
103396690,pool_228,499052.023150685
103396690,pool_229,498948.908150685
103396931,pool_212,403750.64769452
103396931,pool_210,403308.610769317
103396931,pool_211,402959.380098713
103396931,pool_443,402437.27269452
103396931,pool_441,401679.111423317
103396931,pool_442,401383.045699313
103396931,pool_11,401281.89769452
103396931,pool_9,400839.860769317
103396931,pool_10,400490.630098713
103396931,pool_238,399968.52269452
103396931,pool_236,399210.361423317
103396931,pool_237,398914.295699313
103396931,pool_215,398849.29019452
103396931,pool_213,398273.420949317
103396931,pool_446,398155.67019452
103396931,pool_214,397873.814348713
103396931,pool_444,397216.420699317
103396931,pool_445,396859.454349313
103396931,pool_15,396380.54019452
103396931,pool_13,395804.670949317
103396931,pool_242,395686.92019452
103396931,pool_14,395405.064348713
103396931,pool_240,394747.670699315
103396931,pool_241,394390.704349315
103397099,pool_155,175145.960577844
103397099,pool_156,175026.795883093
103397099,pool_157,174841.310836645
103397099,pool_9,174812.261390344
103397099,pool_10,174693.096695593
103397099,pool_383,174535.093175804
103397099,pool_11,174507.611649145
103397099,pool_384,174432.15452485
103397099,pool_396,174386.782425804
103397099,pool_385,174358.877154145
103397099,pool_397,174283.84377485
103397099,pool_236,174238.471675804
103397099,pool_398,174210.566404145
103397099,pool_237,174135.53302485
103397099,pool_238,174062.255654145
103397099,pool_158,173156.477802844
103397099,pool_159,173037.313108093
103397099,pool_160,172905.855549145
103397099,pool_168,172711.545552844
103397099,pool_386,172634.808723304
103397099,pool_169,172592.380858093
103397099,pool_388,172538.044889145
103397099,pool_387,172531.87007235
103397099,pool_170,172460.923299145
103397099,pool_399,172375.264910804
103397099,pool_13,172340.768677844
103397099,pool_401,172278.501076645
103397099,pool_400,172272.32625985
103397099,pool_14,172221.603983093
103397099,pool_15,172090.146424145
103397099,pool_240,171819.099598304
103397099,pool_242,171722.335764145
103397099,pool_241,171716.16094735
103397273,pool_165,161836.60515822
103397273,pool_175,161328.01140822
103397273,pool_164,161244.001676027
103397273,pool_167,160863.01140822
103397273,pool_393,160739.01140822
103397273,pool_174,160735.407926027
103397273,pool_177,160659.57390822
103397273,pool_22,160344.73015822
103397273,pool_406,160298.23015822
103397273,pool_395,160274.78640822
103397273,pool_166,160249.095426027
103397273,pool_25,160184.88640822
103397273,pool_408,160105.25515822
103397273,pool_176,160045.657926027
103397273,pool_392,159994.419576027
103397273,pool_21,159752.126676027
103397273,pool_249,159687.91765822
103397273,pool_252,159596.66140822
103397273,pool_24,159570.970426027
103397273,pool_405,159553.638326027
103397273,pool_394,159481.757076027
103397273,pool_407,159312.225826027
103397273,pool_248,158943.325826027
103397273,pool_251,158803.632076027
103397626,pool_9,330485.648135617
103397626,pool_11,330335.450524931
103397626,pool_10,330310.209835126
103397626,pool_238,329521.595524931
103397626,pool_236,329395.604075617
103397626,pool_237,329250.990835615
103397626,pool_13,325790.485635617
103397626,pool_15,325742.925524931
103397626,pool_14,325615.047335126
103397626,pool_242,325076.385524931
103397626,pool_240,324799.456575617
103397626,pool_241,324654.843335615
103397636,pool_232,181828.348390923
103397636,pool_325,181519.609167123
103397636,pool_233,181511.450082123
103397636,pool_236,181326.015417123
103397636,pool_326,181206.021537123
103397636,pool_231,181062.380862123
103397636,pool_237,181012.427787123
103397636,pool_324,180981.115737123
103397636,pool_235,180787.521987123
103399170,pool_6,229074.718597019
103399170,pool_5,228918.515781508
103399170,pool_7,228522.406672055
103399170,pool_9,228424.598431508
103399170,pool_10,228409.756537019
103399170,pool_11,228307.198172055
103399170,pool_233,228080.372837362
103399170,pool_238,228038.823172055
103399170,pool_237,227946.569537362
103399170,pool_236,227944.481771508
103399170,pool_232,227870.147264008
103399170,pool_234,227691.856672055
103399426,pool_185,159049.978024466
103399426,pool_186,158929.186054894
103399426,pool_416,158816.464557466
103399426,pool_417,158692.343955096
103399426,pool_184,158674.924517465
103399426,pool_415,158466.980517465
103399426,pool_188,157453.702024466
103399426,pool_189,157332.910054894
103399426,pool_13,157282.071774466
103399426,pool_14,157161.279804894
103399426,pool_187,157078.648517465
103399426,pool_240,157048.558307466
103399426,pool_241,156924.437705096
103399426,pool_12,156907.018267465
103399426,pool_239,156699.074267465
103399426,pool_419,156619.368007466
103399426,pool_420,156495.247405096
103399426,pool_418,156269.883967465
103399426,pool_17,155733.577024466
103399426,pool_18,155612.785054894
103399426,pool_16,155358.523517465
103399426,pool_244,154947.024257466
103399426,pool_245,154822.903655096
103399426,pool_243,154597.540217465
103401284,pool_5,127368.017488469
103401284,pool_6,127345.381214315
103401284,pool_142,126998.165981741
103401284,pool_7,126993.447728958
103401284,pool_143,126945.914825015
103401284,pool_155,126888.700856741
103401284,pool_156,126836.449700015
103401284,pool_232,126683.112841691
103401284,pool_144,126676.186520958
103401284,pool_233,126671.751600706
103401284,pool_9,126642.404325491
103401284,pool_370,126615.363312041
103401284,pool_10,126590.153168765
103401284,pool_371,126572.075785456
103401284,pool_157,126566.721395958
103401284,pool_383,126560.630749541
103401284,pool_384,126517.343222956
103401284,pool_396,126451.165624541
103401284,pool_372,126413.939357208
103401284,pool_234,126411.718778958
103401284,pool_397,126407.878097956
103401284,pool_385,126359.206794708
103401284,pool_236,126341.700499541
103401284,pool_11,126320.424864708
103401284,pool_237,126298.412972956
103401284,pool_398,126249.741669708
103401284,pool_238,126140.276544708
103401398,pool_6,259255.831235949
103401398,pool_5,259080.260225754
103401398,pool_4,259065.389969754
103401398,pool_233,258074.779236254
103401398,pool_232,258072.230753754
103401398,pool_231,257927.713169754
103401398,pool_10,257085.481235949
103401398,pool_9,256909.910225754
103401398,pool_237,256901.422836254
103401398,pool_236,256898.874353754
103401398,pool_8,256895.039969754
103401398,pool_235,256754.356769754
103402413,pool_223,591952.468561646
103402413,pool_5,591823.315186646
103402413,pool_454,590709.688711646
103402413,pool_9,590544.812311646
103402413,pool_236,589302.032461646
103402413,pool_232,589109.617917896
103402455,pool_9,481161.775298629
103402455,pool_11,480667.321989042
103402455,pool_10,480620.217058553
103402455,pool_236,480076.329098629
103402455,pool_238,479938.821989042
103402455,pool_237,479571.177059272
103402455,pool_13,472957.337798629
103402455,pool_15,472612.696989042
103402455,pool_14,472415.779558553
103402455,pool_242,471444.746989042
103402455,pool_240,471361.941598629
103402455,pool_241,470856.789559272
103402475,pool_10,381263.820082733
103402475,pool_11,381113.957595615
103402475,pool_9,380688.178719451
103402475,pool_238,380650.832595615
103402475,pool_237,380436.8640833
103402475,pool_236,379832.523789451
103402475,pool_14,374796.279457733
103402475,pool_15,374764.513845615
103402475,pool_13,374220.638094451
103402475,pool_242,373954.971345615
103402475,pool_241,373567.3309583
103402475,pool_240,372962.990664451
103402686,pool_6,161971.946169945
103402686,pool_91,161924.378649945
103402686,pool_99,161924.378649945
103402686,pool_5,161764.080955792
103402686,pool_10,161751.128649945
103402686,pool_90,161732.121538192
103402686,pool_98,161732.121538192
103402686,pool_318,161677.749850134
103402686,pool_326,161608.449850134
103402686,pool_317,161597.009506192
103402686,pool_9,161558.871538192
103402686,pool_325,161527.709506192
103402686,pool_237,161435.199850134
103402686,pool_233,161427.265594134
103402686,pool_316,161423.094706192
103402686,pool_232,161395.925125552
103402686,pool_236,161354.459506192
103402686,pool_324,161353.794706192
103402686,pool_235,161180.544706192
103402686,pool_231,160792.979506192
103403057,pool_236,218708.764335617
103403057,pool_237,218630.343210616
103403057,pool_238,218534.827434932
103403057,pool_240,215675.592460617
103403057,pool_242,215601.264934932
103403057,pool_241,215597.171335616
103403165,pool_9,434292.417414219
103403165,pool_10,433912.059402812
103403165,pool_11,432936.015208554
103403165,pool_236,432617.302942242
103403165,pool_237,432390.519815056
103403165,pool_238,431813.223458554
103403165,pool_13,430671.709060482
103403165,pool_15,430295.971663554
103403165,pool_14,430168.938636162
103403165,pool_242,429805.544701054
103403165,pool_240,429682.321918182
103403165,pool_241,429235.750399306
103403998,pool_223,268777.390575343
103403998,pool_9,268151.765575343
103403998,pool_454,267897.230775343
103403998,pool_236,267271.605775343
103403998,pool_224,266180.640575343
103403998,pool_455,266006.055775343
103403998,pool_13,264360.640575343
103403998,pool_240,263560.430775343
103404032,pool_22,322145.467272124
103404032,pool_21,321711.123550892
103404032,pool_25,321546.095397124
103404032,pool_249,321403.274772124
103404032,pool_24,321053.990425892
103404032,pool_248,320666.467825892
103404032,pool_252,319477.767897124
103404032,pool_251,318642.054700892
103405231,pool_232,226110.382860273
103405231,pool_231,225835.119500274
103405231,pool_233,225747.668736435
103405231,pool_229,225480.678708273
103405231,pool_230,225156.627936435
103405231,pool_228,224976.247500274
103405745,pool_233,397647.766210029
103405745,pool_237,397410.206147529
103405745,pool_234,397088.186839212
103405745,pool_238,396827.875901712
103405745,pool_236,396175.753034589
103405745,pool_232,396043.776392402
103407768,pool_156,176518.517780308
103407768,pool_157,176230.014873178
103407768,pool_10,176183.436530308
