Pool,Loan,Price,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary
pool_1,103383740,256500.01780685,255000,696,44.29,0,0,0,1
pool_1,103409559,200523.067410958,200000,812,47.745,0,0,1,1
pool_1,103416238,361453.5939,365000,737,23.511,0,0,0,1
pool_1,103422184,305187.265088103,305634,767,13.559,0,0,1,1
pool_1,103428558,174289.319397534,174000,801,27.24,0,0,1,1
pool_1,103428714,388460.441974795,392000,811,50,0,0,1,1
pool_1,103430374,391228.018645786,388500,771,47.658,0,1,0,1
pool_1,103430775,234109.876920821,234000,782,16.373,0,0,1,0
pool_1,103433873,256053.661807725,253800,765,50.395,0,0,0,1
pool_1,103435419,300191.394164385,300000,809,25.382,0,0,0,1
pool_1,103436286,217431.133403836,216000,662,32.129,0,1,0,1
pool_1,103437451,268247.12990104,267200,743,27.552,0,0,1,1
pool_1,103437941,276029.365321518,273847,744,46.311,0,0,0,1
pool_1,103439625,233914.14783411,235500,808,16.663,0,0,0,1
pool_1,103439743,449423.101614385,445000,765,39.184,0,0,0,1
pool_1,103441499,472189.549184796,470500,782,47.622,0,1,0,1
pool_1,103442319,314427.3611677,312900,732,48.962,0,0,0,1
pool_1,103442652,165084.018489042,165000,758,32.486,0,0,1,1
pool_1,103442753,428515.779121426,426800,802,32.538,0,0,0,0
pool_1,103443883,395215.303538635,395504,769,18.342,0,1,0,1
pool_1,103444328,343082.200098632,340000,762,32.343,0,0,0,1
pool_1,103444439,208273.943828493,206000,775,40.795,0,0,0,1
pool_1,103444934,420198.065024712,417800,737,21.249,0,0,0,1
pool_1,103445426,226910.023962329,225000,775,22.542,0,0,0,1
pool_1,103445492,238155.059112329,240000,795,45.539,0,0,1,1
pool_1,103445503,485638.813347946,480000,701,26.466,0,0,0,1
pool_1,103445539,223896.650226165,222000,730,32.239,0,0,0,1
pool_1,103445854,163086.835245644,163400,749,33.138,0,0,0,1
pool_1,103445913,204714.613283434,203424,808,17.987,0,0,0,1
pool_1,103445922,204177.285907123,209000,785,49.662,0,0,0,1
pool_1,103447408,348202.917487982,345245,775,41.156,0,0,0,1
pool_1,103448253,200695.837410958,200000,774,36.83,0,0,1,1
pool_1,103448311,485949.186974989,484350,812,14.901,0,1,1,1
pool_1,103448794,207592.024847671,211000,803,33.598,0,0,0,1
pool_1,103448958,485925.085347946,480000,823,28.819,0,0,0,1
pool_1,103449056,362464.204633149,359000,775,18.723,0,1,0,1
pool_1,103449130,224431.547712329,225000,823,32.06,0,1,1,1
pool_1,103449182,387868.849533807,385600,804,14.626,0,0,0,1
pool_1,103449385,251109.89500926,250001,739,42.593,0,0,1,1
pool_1,103449611,303931.925939885,302373,763,35.85,0,0,0,1
pool_1,103450714,290806.871634794,293000,759,24.067,0,0,0,1
pool_1,103451117,268718.810055069,269000,786,28.734,0,0,1,1
pool_1,103451409,452336.151723944,451600,755,37.052,0,0,1,1
pool_1,103451417,210488.982736438,212000,717,34.173,0,0,0,1
pool_1,103451644,223248.900374411,223400,794,37.725,0,0,0,1
pool_1,103451661,314042.639468582,311308,765,34.248,0,0,0,1
pool_1,103451707,213516.767699321,212100,779,36.988,0,0,0,1
pool_1,103452086,260350.461066727,257450,801,29.599,0,0,0,1
pool_1,103452102,275880.138003014,274000,798,23.286,0,1,0,1
pool_1,103453649,247838.939836438,247000,779,21.302,0,0,0,1
pool_1,103453991,260252.369474959,258400,753,29.763,0,1,0,1
pool_1,103454081,366800.9649,365000,762,36.711,0,0,0,1
pool_1,103454215,245559.735520685,244500,753,48.09,0,0,0,1
pool_1,103454334,282667.405581371,280500,809,42.483,0,0,0,1
pool_1,103454543,232173.646765069,232500,791,32.344,0,0,1,1
pool_1,103454836,227768.402624384,226000,700,49.207,0,0,0,1
pool_1,103454847,290868.662133836,289000,735,49.49,0,0,0,1
pool_1,103455127,263348.103671302,261000,807,24.896,0,0,0,1
pool_1,103455262,478839.730191523,476995,803,12.768,0,1,0,1
pool_1,103456375,261162.487163151,264500,762,47.096,0,0,1,1
pool_1,103457288,372221.713439671,373200,754,41.581,0,0,1,1
pool_1,103457291,274513.591463424,273500,801,30.017,0,1,0,1
pool_1,103457521,402096.490367672,398000,808,32.931,0,0,0,1
pool_1,103458327,480178.468532054,478000,777,27.093,0,0,0,0
pool_1,103458469,442340.076372603,440000,766,33.519,0,0,0,1
pool_1,103458781,238205.847377342,236200,787,21.539,0,0,0,1
pool_1,103459948,486949.73746607,484350,772,18.789,0,0,0,1
pool_1,103460154,250194.69538959,248000,803,21.618,0,0,0,1
pool_1,103460405,367004.181123152,365500,788,25.353,0,1,0,1
pool_1,103460634,223955.657826165,222000,797,25.022,0,0,0,0
pool_1,103460765,276107.729253015,274000,797,20.366,0,0,0,1
pool_1,103461187,151134.812466925,150100,790,39.876,0,0,0,1
pool_1,103461281,254847.895948973,255000,811,18.07,0,0,1,1
pool_1,103461689,485592.449563562,483000,786,21.355,0,0,0,1
pool_1,103461935,241852.29889315,240000,782,43.82,0,0,0,1
pool_1,103462067,164440.87074663,164800,794,15.58,0,0,1,1
pool_1,103462114,304788.630783383,302650,797,41.839,0,1,0,1
pool_1,103462184,150827.216671233,150000,776,23.717,0,0,1,1
pool_1,103462307,357431.380832807,354515.35,808,23.23,0,0,0,1
pool_1,103463039,445275.556729452,440849.10,715,43.458,0,0,0,1
pool_1,103463517,208148.829776814,206500,790,43.55,0,0,0,1
pool_1,103464939,366816.832933289,363500,806,44.446,0,0,0,1
pool_1,103466283,173266.083873425,172000,775,33.825,0,0,0,1
pool_1,103466413,461340.462371095,458000,793,30.731,0,0,0,1
pool_1,103466555,157536.091535266,157296.89,803,23.628,0,1,1,1
pool_1,103466801,162936.129193425,164000,712,40.465,0,0,1,1
pool_1,103466894,467156.527125205,463000,747,43.02,0,1,0,1
pool_1,103467255,448669.060239385,445000,756,36.279,0,0,0,1
pool_1,103467751,195732.222617123,197500,773,44.312,0,0,0,0
pool_1,103467909,159574.592073494,159250,782,45.628,0,0,0,1
pool_1,103468338,347674.99387726,348000,732,48.244,0,0,1,1
pool_1,103468803,212478.049249973,213600,796,32.391,0,0,1,1
pool_1,103468867,398899.425480171,395500,795,32.142,0,0,0,1
pool_1,103469263,324940.685047945,325000,772,42.095,0,0,1,1
pool_1,103469366,197385.216561507,195500,793,15.742,0,0,0,1
pool_1,103469405,275464.521084487,273500,793,15.476,0,0,0,1
pool_1,103469542,213981.454706733,212300,736,33.029,0,0,0,1
pool_1,103469985,172899.900670366,171850,799,25.733,0,0,0,1
pool_1,103470041,245457.736447841,243500,777,24.854,0,0,0,1
pool_1,103470065,212373.817392739,211500,793,23.494,0,0,0,1
pool_1,103470375,479359.074458904,475000,790,36.929,0,0,0,1
pool_1,103470934,290836.876941424,288800,700,33.209,0,0,0,1
pool_1,103471052,487813.777061239,484350,755,48.57,0,0,0,1
pool_1,103471104,201396.450376027,202500,753,44.405,0,1,1,1
pool_1,103471337,295208.072905205,296000,756,28.289,0,0,1,1
pool_1,103471432,349643.392232877,350000,713,48.593,0,0,1,1
pool_1,103471628,383776.334417875,381000,814,17.755,0,0,0,1
pool_1,103471714,307854.250231507,305000,713,44.008,0,1,0,1
pool_1,103472140,312062.582561097,312000,750,38.867,0,0,1,1
pool_1,103472282,353006.615469179,350000,682,38.941,0,0,0,1
pool_1,103472413,440201.128617944,437000,734,21.976,0,0,0,1
pool_1,103473319,152624.426469315,157000,731,45.114,0,0,1,0
pool_1,103473640,218358.759395479,216500,756,23.11,0,0,0,1
pool_1,103473768,349549.073539506,348800,733,37.593,0,0,1,1
pool_1,103473869,390918.807603793,388632,752,35.054,0,0,0,1
pool_1,103474011,452831.582946988,448500,774,38.851,0,1,0,1
pool_1,103474174,280472.324964384,280000,766,25.003,0,0,1,1
pool_1,103474206,230901.368652066,228960,809,33.307,0,0,0,1
pool_1,103474499,466122.810241644,468000,722,15.212,0,0,1,1
pool_1,103475283,179413.283045753,178000,767,35.951,0,0,0,1
pool_1,103475683,254361.507937808,252000,753,41.373,0,0,0,1
pool_1,103476061,326963.023824282,324500,773,42.293,0,0,0,1
pool_1,103476469,324806.242787671,325000,713,35.348,0,0,1,1
pool_1,103476726,364965.579496855,363187,718,46.836,0,0,0,0
pool_1,103476845,374735.116784384,372000,797,25.433,0,0,0,1
pool_1,103476892,295374.173736747,296500,681,43.218,0,0,1,1
pool_1,103477594,399118.6715737,396000,699,28.981,0,0,0,1
pool_1,103477613,192517.595852466,191000,791,23.764,0,0,0,1
pool_1,103478650,275303.239210781,273400,735,42.889,0,0,0,1
pool_1,103478753,227532.985006849,225000,731,22.616,0,0,0,1
pool_1,103478981,100227.684630137,100000,714,29.359,0,0,0,1
pool_1,103479160,328905.516962219,328900,757,42.261,0,0,0,1
