Loan,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary,PropOcc,PropState,PropType,Purpose
102776883,205100,757,48.918,0,0,1,0,NOO,TX,2 Unit,Cashout
103282778,60000,705,43.419,0,0,1,1,Primary,FL,SFR_Dt,Cashout
103337294,138000,674,43.73,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103367394,366000,771,35.501,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103375292,375000,686,45.15,0,0,0,1,Primary,OH,SFR_Dt,Rate/Term
103375385,244093,753,47.944,0,0,1,0,NOO,IL,SFR_At,Cashout
103379057,304000,756,43.275,0,0,0,1,Primary,GA,SFR_Dt,Rate/Term
103379882,65000,716,41.362,0,1,1,1,Primary,CA,SFR_At,Cashout
103382160,116800,739,36.166,0,0,0,1,Primary,WA,SFR_Dt,Rate/Term
103382190,97500,650,43.854,0,0,0,1,Primary,AZ,SFR_Dt,Rate/Term
103382628,293200,775,42.039,0,0,0,1,Primary,NY,SFR_Dt,Rate/Term
103383740,255000,696,44.29,0,0,0,1,Primary,PA,SFR_Dt,Rate/Term
103386126,146000,777,49.86,0,0,1,1,Primary,AL,SFR_Dt,Cashout
103386790,654500,750,43.147,1,1,0,0,NOO,CA,SFR_Dt,Rate/Term
103388198,380000,763,33.292,0,0,0,1,Primary,IL,CondoHi,Rate/Term
103389046,282000,764,42.93,0,1,0,0,NOO,CA,CondoLo,Rate/Term
103389210,329000,764,41.586,0,1,1,0,NOO,CA,CondoLo,Cashout
103389421,138750,743,19.596,0,1,0,0,NOO,CA,CondoLo,Rate/Term
103389760,120000,647,44.589,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103390043,120000,698,48.106,0,0,1,1,Primary,LA,SFR_Dt,Cashout
103390162,200001,783,29.051,0,0,0,1,Primary,AZ,SFR_Dt,Rate/Term
103391560,480500,658,46.45,0,0,1,1,Primary,IL,SFR_Dt,Cashout
103391895,400000,766,44.897,0,0,1,1,Primary,TN,SFR_Dt,Cashout
103392396,106000,646,30.142,0,0,0,1,Primary,UT,2 Unit,Rate/Term
103392505,76000,700,35.342,0,0,1,1,Primary,LA,SFR_Dt,Cashout
103392707,245000,787,35.799,0,0,1,1,Primary,NJ,2 Unit,Cashout
103392912,177600,702,41.111,0,0,0,1,Primary,SC,SFR_At,Rate/Term
103393449,190000,768,38.136,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103394752,241200,700,46.889,0,0,1,1,Primary,WA,SFR_At,Cashout
103395621,236500,671,49.493,0,0,1,1,Primary,TN,SFR_Dt,Cashout
103396625,191000,729,42.151,0,0,1,1,Primary,UT,SFR_Dt,Cashout
103396690,500000,796,21.778,1,0,1,1,Primary,HI,CondoLo,Cashout
103396931,395000,771,28.57,0,0,1,0,NOO,NV,SFR_Dt,Cashout
103397099,169498,758,40.07,0,1,1,1,Primary,CA,SFR_At,Cashout
103397273,155000,698,22.514,0,0,1,1,Primary,TX,SFR_At,Cashout
103397626,322000,752,26.25,0,1,1,1,Primary,CA,SFR_At,Cashout
103397636,177000,729,46.852,0,0,0,1,Primary,UT,CondoLo,Rate/Term
103399170,226000,693,38.412,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103399426,152900,623,37.278,0,0,1,1,Primary,MD,SFR_Dt,Cashout
103401284,125103,779,38.486,0,0,0,1,Primary,NM,SFR_Dt,Rate/Term
103401398,254400,777,40.691,0,0,1,1,Primary,MI,SFR_Dt,Cashout
103402413,585000,762,45.674,0,0,1,1,Primary,NY,2 Unit,Cashout
103402455,470000,663,40.24,0,0,1,1,Primary,MA,SFR_Dt,Cashout
