Pool,Loan,Price
pool_1,103470065,212373.817392739
pool_1,600139488,448105.460835617
pool_10,103431488,240975.124672968
pool_10,103443810,242114.040006038
pool_10,103451442,152661.835849136
pool_10,103456492,448469.993971913
pool_10,103461803,169843.897704932
pool_10,103468654,225448.69218288
pool_10,103473089,231362.894896909
pool_10,103476815,399554.293421991
pool_10,103481529,430439.745493983
pool_10,103486869,184969.444805997
pool_10,103494316,233436.750529547
pool_10,3000499386,258789.69568455
pool_10,3000574066,231016.533407412
pool_10,3000589873,528905.478361228
pool_10,3000597772,451317.297369757
pool_10,3200061264,308818.159545032
pool_10,600137263,115556.184006246
pool_10,600145146,405025.047979467
pool_104,3000592671,76282.801511064
pool_11,103436188,369748.696439726
pool_11,103449500,338209.127026191
pool_11,103457482,309689.795953972
pool_11,103464816,177734.312604932
pool_11,103473497,178720.590174521
pool_11,103478990,216483.056899507
pool_11,103485856,414354.876192329
pool_11,103493454,102784.307616438
pool_11,3000524129,228495.546916438
pool_11,3000579520,575307.279189041
pool_11,3000593702,470091.241412055
pool_11,3200057549,416412.944794009
pool_11,3800035095,427089.75919975
pool_11,600145865,276505.701057535
pool_117,103457542,104747.559552662
pool_12,103458280,158971.782945205
pool_12,600147507,209867.331844383
pool_124,103408023,84477.8227532326
pool_129,3000563826,125154.132431508
pool_13,103451345,182212.517720219
pool_13,103468806,236799.802140275
pool_13,103488148,174530.617304795
pool_13,3000536883,459026.346673431
pool_13,3000581297,436551.452527399
pool_13,3000595464,250754.332160741
pool_13,3200056415,403197.236519099
pool_13,600137199,937707.761104372
pool_13,600145476,459914.72288392
pool_131,103469757,118961.47257793
pool_133,3000475635,56571.3844718193
pool_135,600142695,108451.813380822
pool_14,103402455,472415.779558553
pool_14,103462296,342030.355547495
pool_14,103479181,356953.185833586
pool_14,3000475635,56138.2594718192
pool_14,3000575740,345920.111610128
pool_14,3000594044,279855.139523553
pool_14,3200055135,418999.479194387
pool_14,600141426,335068.3260263
pool_14,600146910,245009.461237307
pool_142,3000601338,104620.586118425
pool_144,3000225522,117325.118703562
pool_145,600135425,110492.068034384
pool_147,103483101,112001.687162329
pool_148,600145883,137049.411296505
pool_15,103460182,285487.923727398
pool_15,103486105,219612.705995137
pool_15,3000548061,278572.679102467
pool_15,3000586162,423113.041366685
pool_15,3000600142,332466.236972603
pool_15,3800029652,487093.528507396
pool_15,600145633,226723.495047946
pool_152,103414203,64377.5012547948
pool_155,103475066,157012.654550411
pool_156,103457542,104458.918927662
pool_157,103453198,124843.959365891
pool_158,103459345,125686.983802192
pool_158,600145599,159124.413651781
pool_159,600145599,158898.980691548
pool_160,3000585333,95427.4221238355
pool_162,3000550244,136442.312543558
pool_164,600143806,176852.64692668
pool_167,103501763,110001.776387671
pool_168,3000585333,95199.5309073969
pool_169,103483101,111239.269492953
pool_169,600145628,191823.090650403
pool_17,3000558756,89305.5867020546
pool_17,600144847,250164.748002173
pool_170,3000583150,130397.792436032
pool_171,3000599094,41390.6438630136
pool_173,3000607331,178510.019295822
pool_175,3000585862,189895.583305603
pool_178,103444615,504476.136043663
pool_179,103450538,278142.440603424
pool_18,103464258,103456.239958845
pool_18,600145880,151157.202544713
pool_180,600144939,416966.424503876
pool_181,103481173,199708.697161644
pool_182,103455206,283951.840554474
pool_182,3000592259,334619.164533698
pool_183,103473075,235679.24774353
pool_184,103451345,183144.56280822
pool_185,103459945,200450.989616438
pool_186,103468293,514696.464790333
pool_188,600144175,270552.532136919
pool_19,3000601050,203136.881780822
pool_197,3000475635,57236.8851698627
pool_2,103457521,403187.678387672
pool_2,103487301,187250.028971769
pool_203,103379882,70396.7774472605
pool_21,3000574763,131143.471393617
pool_211,3800029793,516611.659665212
pool_213,600145098,405093.060320776
pool_215,600142676,742335.991210399
pool_218,103409503,434785.864957809
pool_22,103445266,222684.560409533
pool_220,600144380,159778.718356849
pool_223,600134542,185566.254970131
pool_224,600145747,283623.036157048
pool_228,103448697,336400.945444658
pool_228,103475496,169489.547312261
pool_228,600146210,364909.639450892
pool_229,103460082,394949.73396763
pool_229,103486145,299370.342788227
pool_230,103431513,487201.98795749
pool_230,103469542,213690.339332155
pool_230,3000600648,402281.516547944
pool_231,103441214,230099.655224761
pool_231,103457617,162654.337490411
pool_231,103471416,205570.76082637
pool_231,103482381,328817.289922193
pool_231,3000582241,126681.303578768
pool_231,600144703,305124.527794521
pool_232,103425788,275080.882149726
pool_232,103441277,188519.951376111
pool_232,103449499,309597.847970548
pool_232,103455161,266321.820239041
pool_232,103460416,189435.222080138
pool_232,103468342,283724.828538904
pool_232,103473029,260097.566824316
pool_232,103476469,326839.122287672
pool_232,103481136,299206.305713835
pool_232,103486950,239647.066953651
pool_232,103494654,472061.602943012
pool_232,3000561830,465673.341911919
pool_232,3000599000,431535.637159691
pool_232,600139450,254236.172312654
pool_232,600145150,147094.313290411
pool_233,103425974,438847.161962275
pool_233,103441351,599949.488472602
pool_233,103449668,259183.169993149
pool_233,103455402,273526.367797624
pool_233,103460733,204097.84264403
pool_233,103468867,399487.60349267
pool_233,103473577,361462.053497255
pool_233,103477151,211977.217339726
pool_233,103482232,417801.685273972
pool_233,103488314,445962.040736302
pool_233,103497138,243112.136071937
pool_233,3000587141,509976.194726025
pool_233,3800030576,559950.459924285
pool_233,600144599,440219.305864794
pool_234,103420744,286594.290018494
pool_234,103446434,375411.526003149
pool_234,103456840,336448.383645755
pool_234,103470299,489868.229726691
pool_234,103476760,237377.981303561
pool_234,103485872,372474.813061781
pool_234,103497621,182610.754211712
pool_234,3200058462,308037.224401023
pool_234,600146277,253973.059537673
pool_235,103452093,318681.460273973
pool_235,103472031,715885.128139724
pool_235,103498088,152760.76639726
pool_235,600142254,205275.288164384
pool_236,103403998,267271.605775343
pool_236,103435638,331485.80001452
pool_236,103445973,248435.755520548
pool_236,103453013,260171.377139398
pool_236,103458038,177507.420302465
pool_236,103463957,272652.107215069
pool_236,103470060,292221.40822514
pool_236,103474347,327914.999258219
pool_236,103478973,336882.731320136
pool_236,103483101,112770.789789041
pool_236,103489358,377394.756893986
pool_236,103497621,182287.210859589
pool_236,3000520944,146347.815693687
pool_236,3000569540,421175.894698629
pool_236,3000585017,134894.079588205
pool_236,3000593470,235476.722068667
pool_236,3000603053,184991.142152054
pool_236,3200065361,261169.41240439
pool_236,600136074,314205.257013699
pool_236,600143229,448142.518012275
pool_236,600145146,404116.092435288
pool_236,600147307,166011.922990905
pool_237,103430725,197304.247262465
pool_237,103443345,272853.818512041
pool_237,103451262,309760.262142674
pool_237,103456840,334420.206808221
pool_237,103462278,291719.922475355
pool_237,103468910,184815.197374931
pool_237,103473534,330071.639302739
pool_237,103478016,228039.206991342
pool_237,103482352,613304.581880136
pool_237,103488118,256168.838630137
pool_237,103496572,169764.719083543
pool_237,3000515966,319551.088045258
pool_237,3000573922,347663.026585815
pool_237,3000588465,358701.331243151
pool_237,3000596748,450665.131875692
pool_237,3200058286,356057.216954803
pool_237,3800032122,687503.561987948
pool_237,600142784,276527.904320096
pool_237,600144998,565036.73565456
pool_237,600146746,424565.075709489
pool_238,103434944,236901.91188274
pool_238,103448894,417296.91759211
pool_238,103456840,333929.606145754
pool_238,103464598,221995.129630685
pool_238,103473348,319565.631929316
pool_238,103479161,281867.523931726
pool_238,103485872,368185.589311781
pool_238,103494912,423819.185523287
